Institution,CourseNumber,LaunchDate,CourseTitle,Instructors,CourseSubject,Year,Participants,PercentAudited,PercentCertified,PercentCertifiedAudited,PercentPlayedVideo,PercentPosted,PercentGradeHigherThanZero,TotalCourseHours,MedianHoursCertification,MedianAge,PercentFemale,PercentBachelorOrHigher
MITx,JPAL101x,2016-05-02,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland",GHSS,4,4130,20.05,4.02,20.05,60.22,7.43,29.64,33.63,47.71,30.0,50.51,89.32
HarvardX,HDS3221.3x,2016-05-03,World Religions Through their Scriptures: Buddhism,Charles Hallisey,HHDRE,4,8758,19.53,1.07,5.5,71.61,17.32,1.07,25.96,26.27,36.0,49.72,75.56
HarvardX,GSE2x,2016-05-11,Leaders of Learning,Richard Elmore,HHDRE,4,9743,13.05,2.07,15.89,70.53,14.6,2.12,20.17,14.46,31.0,51.11,78.93
MITx,3.054.3x,2016-05-11,Cellular Solids: Applications in Nature,Lorna J. Gibson,STEM,4,362,78.18,6.63,8.48,45.86,7.18,12.71,1.55,23.31,28.0,22.79,80.07
MITx,CTL.SC2x,2016-05-18,Supply Chain Design,"Chris Caplice, Yossi Sheffi, Jarrod Goentzel, James Blayney Rice Jr.",GHSS,4,12455,22.59,12.12,53.66,77.06,17.05,24.23,355.29,142.79,30.0,22.81,85.81
MITx,21W.789.5x,2016-05-23,Mobile Application Experiences: Reporting Research Findings,"Frank Bentley, Ed Barrett",CS,4,322,58.07,1.24,2.14,25.78,1.55,1.86,0.11,6.88,29.0,23.9,72.45
HarvardX,MCB64.1x,2016-05-25,Cell Biology: Mitochondria,Rob Lue,STEM,4,8297,23.3,3.23,13.86,74.58,11.29,3.25,39.56,18.06,28.0,46.14,63.2
MITx,3.15.1x,2016-05-25,Electronic Materials and Devices,Caroline Ross,STEM,4,7898,26.16,1.19,4.55,56.24,2.14,9.01,28.25,53.65,24.0,14.72,56.87
HarvardX,HDS3221.4x,2016-06-01,World Religions Through Their Scriptures: Islam,Ali Asani,HHDRE,4,8695,19.13,1.46,7.64,71.71,19.92,1.47,39.83,35.64,31.0,49.8,74.37
MITx,7.28.1x1,2016-06-07,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton",STEM,4,4825,14.82,1.91,12.87,67.83,5.37,33.49,29.82,49.8,26.0,45.44,68.23
MITx,6.00.1x,2016-06-07,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Ana Bell",CS,4,21212,16.37,4.46,27.24,74.42,8.73,44.23,485.85,119.57,24.0,19.37,58.76
HarvardX,ENGSCI137x,2016-06-08,Energy Within Environmental Constraints,David Keith,STEM,4,8017,18.9,4.23,22.38,70.89,17.28,29.46,94.63,94.35,27.0,31.59,74.91
MITx,10.03x,2016-06-14,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller",GHSS,4,2604,35.64,7.95,22.31,70.01,20.01,43.74,17.5,25.22,26.0,44.34,72.52
MITx,2.01x,2016-06-22,Elements of Structures,"Simona Socrate, Alexie M. Kolpak",STEM,4,4014,12.83,1.15,8.93,66.87,5.75,11.96,27.31,75.91,25.0,13.36,64.59
MITx,LAUNCHx,2016-06-27,Becoming an Entrepreneur,Laurie Stach,GHSS,4,22959,17.29,1.39,8.06,68.26,25.01,26.01,37.86,13.39,27.0,25.31,65.51
MITx,6.002.1x,2016-06-28,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,4,12218,12.42,0.15,1.19,72.14,2.5,0.15,56.54,74.74,24.0,14.11,51.66
MITx,6.002.2x,2016-06-28,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,4,1645,17.08,0.12,0.71,53.43,1.88,0.12,7.09,45.38,23.0,11.31,54.7
MITx,3.15.2x,2016-06-29,Optical Materials and Devices,Caroline Ross,STEM,4,2335,33.92,2.78,8.21,50.71,4.03,13.83,11.1,41.1,24.0,17.13,63.95
HarvardX,HDS3221.5x,2016-07-05,World Religions Through their Scriptures: Hinduism,Neelima Shukla-Bhatt,HHDRE,4,4553,23.08,1.54,6.66,73.34,16.65,1.54,18.76,26.74,31.0,43.03,74.39
MITx,11.133x,2016-07-14,Implementation and Evaluation of Educational Technology,"Eric Klopfer, Elizabeth Huttner-Loan",HHDRE,4,2402,51.29,5.33,10.39,59.62,0.0,24.31,8.59,23.6,34.0,41.8,86.84
HarvardX,MUS24.4x,2016-07-21,First Nights: Symphonie Fantastique,Tom Kelly,HHDRE,4,615,49.59,3.25,6.56,80.81,8.78,3.25,1.71,5.93,38.0,43.18,74.66
HarvardX,GSE4x,2016-07-25,Introduction to Family Engagement in Education,Karen Mapp,HHDRE,4,2871,9.3,0.7,7.49,70.11,0.0,0.7,4.26,11.33,34.0,74.76,82.31
MITx,6.302.0x,2016-08-01,Introduction to Control System Design,"Jacob White, Joe Steinmeyer",STEM,4,3937,24.74,1.24,5.03,12.27,4.72,8.23,15.62,58.5,24.0,8.83,61.32
MITx,3.15.3x,2016-08-03,Magnetic Materials and Devices,Caroline Ross,STEM,4,1294,28.13,2.94,10.44,49.92,4.4,14.3,6.87,40.59,25.0,14.05,65.78
